,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
0,2021-01-02 00:00:00,4.2,8432.0,345,-5.9,50,1014,3.7,7448.0,4044.0
1,2021-01-02 00:15:00,4.3,8177.0,348,-5.9,50,1014,3.3,5497.0,3512.0
2,2021-01-02 00:30:00,4.2,7959.0,352,-6.0,50,1014,3.3,5583.0,3242.0
3,2021-01-02 00:45:00,4.3,7740.0,356,-6.0,49,1014,3.0,3926.0,1667.0
4,2021-01-02 01:00:00,4.3,7522.0,0,-6.1,49,1014,2.5,468.0,204.0
5,2021-01-02 01:15:00,4.3,7267.0,3,-6.1,49,1014,2.5,145.0,-385.0
6,2021-01-02 01:30:00,4.3,6974.0,5,-6.2,49,1014,2.4,-119.0,-298.0
7,2021-01-02 01:45:00,4.3,6681.0,9,-6.3,48,1014,2.2,-110.0,-319.0
8,2021-01-02 02:00:00,4.3,6388.0,12,-6.4,48,1014,2.1,-102.0,-308.0
9,2021-01-02 02:15:00,4.3,6273.0,15,-6.5,48,1014,2.2,-117.0,-305.0
10,2021-01-02 02:30:00,4.4,6336.0,16,-6.6,47,1014,2.1,-98.0,-276.0
11,2021-01-02 02:45:00,4.3,6399.0,19,-6.6,47,1014,2.1,-115.0,-317.0
12,2021-01-02 03:00:00,4.4,6462.0,20,-6.7,46,1014,2.1,-103.0,-304.0
13,2021-01-02 03:15:00,4.4,6594.0,23,-6.7,46,1014,2.2,-38.0,-347.0
14,2021-01-02 03:30:00,4.4,6796.0,25,-6.8,45,1014,2.1,-113.0,-330.0
15,2021-01-02 03:45:00,4.5,6999.0,29,-6.8,44,1014,2.0,-150.0,-309.0
16,2021-01-02 04:00:00,4.5,7201.0,32,-6.9,43,1014,2.1,-129.0,-297.0
17,2021-01-02 04:15:00,4.4,7406.0,36,-6.9,43,1014,2.2,-110.0,-284.0
18,2021-01-02 04:30:00,4.4,7613.0,39,-6.9,42,1014,2.3,-111.0,-358.0
19,2021-01-02 04:45:00,4.4,7821.0,45,-7.0,42,1014,2.6,-141.0,-337.0
20,2021-01-02 05:00:00,4.4,8028.0,49,-7.0,41,1014,2.8,32.0,1198.0
21,2021-01-02 05:15:00,4.4,8367.0,52,-7.0,41,1014,2.9,664.0,690.0
22,2021-01-02 05:30:00,4.4,8837.0,57,-7.0,41,1014,2.9,920.0,1440.0
23,2021-01-02 05:45:00,4.6,9306.0,61,-7.1,40,1014,2.8,1137.0,1923.0
24,2021-01-02 06:00:00,4.6,9776.0,66,-7.1,40,1014,3.0,947.0,594.0
25,2021-01-02 06:15:00,4.7,10291.0,69,-7.1,40,1014,2.7,926.0,882.0
26,2021-01-02 06:30:00,4.7,10852.0,72,-7.0,40,1014,3.0,1574.0,1838.0
27,2021-01-02 06:45:00,4.9,11413.0,73,-7.0,41,1015,2.9,1760.0,1866.0
28,2021-01-02 07:00:00,4.9,11974.0,76,-6.9,41,1015,2.9,1485.0,68.0
29,2021-01-02 07:15:00,5.0,12175.0,78,-6.7,40,1015,2.6,742.0,-323.0
30,2021-01-02 07:30:00,4.9,12017.0,79,-6.3,39,1015,2.6,556.0,-328.0
31,2021-01-02 07:45:00,4.8,11858.0,82,-5.9,38,1015,2.5,123.0,-312.0
32,2021-01-02 08:00:00,4.6,11700.0,83,-5.5,37,1015,2.3,-89.0,-365.0
33,2021-01-02 08:15:00,4.5,11402.0,84,-4.9,35,1015,2.4,-158.0,-350.0
34,2021-01-02 08:30:00,4.4,10964.0,84,-4.2,33,1015,2.3,-121.0,-300.0
35,2021-01-02 08:45:00,4.2,10527.0,85,-3.4,30,1016,2.4,-140.0,-358.0
36,2021-01-02 09:00:00,4.1,10089.0,84,-2.7,28,1016,2.5,-81.0,-318.0
37,2021-01-02 09:15:00,3.9,9215.0,84,-1.9,27,1016,2.3,-156.0,-337.0
38,2021-01-02 09:30:00,3.7,7906.0,82,-1.2,26,1016,1.9,-118.0,-315.0
39,2021-01-02 09:45:00,3.6,6597.0,80,-0.4,25,1016,1.9,-103.0,-317.0
